Title of the Research Paper,Link to the Research Paper,Published Date,Authors,Pureportal Profile Link
Deep Learning Based Forecasting of COVID-19 Hospitalisation in England: A Comparative Analysis,https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-forecasting-of-covid-19-hospitalisation-in-en,19 Mar 2024,"['Ajao-olarinoye, M.', 'Palade, V.', 'He, F.', 'Wark, P. A.']","['https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'https://pureportal.coventry.ac.uk/en/persons/fei-he', 'https://pureportal.coventry.ac.uk/en/persons/petra-wark']"
Effective Natural Language Processing Algorithms for Early Alerts of Gout Flares from Chief Complaints,https://pureportal.coventry.ac.uk/en/publications/effective-natural-language-processing-algorithms-for-early-alerts,10 Mar 2024,"['Daneshkhah, A.']",['https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']
Forecasting global climate drivers using Gaussian processes and convolutional autoencoders,https://pureportal.coventry.ac.uk/en/publications/forecasting-global-climate-drivers-using-gaussian-processes-and-c,1 Feb 2024,"['Donnelly, J.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/james-donnelly', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
Integrating Machine Learning in Pedestrian Forensics: A Comprehensive Tool for Analysing Pedestrian Collisions,https://pureportal.coventry.ac.uk/en/publications/integrating-machine-learning-in-pedestrian-forensics-a-comprehens,9 Apr 2024,"['Shrinivas, V.', 'Bastien, C.', 'Davies, H.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/vadhiraj-shrinivas', 'https://pureportal.coventry.ac.uk/en/persons/christophe-bastien', 'https://pureportal.coventry.ac.uk/en/persons/huw-davies', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
LightPRA: A Lightweight Temporal Convolutional Network for Automatic Physical Rehabilitation Exercise Assessment,https://pureportal.coventry.ac.uk/en/publications/lightpra-a-lightweight-temporal-convolutional-network-for-automat,May 2024,"['Sardari, S.', 'Daneshkhah, A.', 'Palade, V.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/sara-sardari', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
Locally correct confidence intervals for a binomial proportion: A new criteria for an interval estimator,https://pureportal.coventry.ac.uk/en/publications/locally-correct-confidence-intervals-for-a-binomial-proportion-a-,Mar 2024,"['Moustafa, M. W.']",['https://pureportal.coventry.ac.uk/en/persons/maha-moustafa']
Machine Learning Approaches for Region-level Prescription Demand Forecasting,https://pureportal.coventry.ac.uk/en/publications/machine-learning-approaches-for-region-level-prescription-demand-,1 Mar 2024,"['Wang, X.', 'Chen, L.', 'Zheng, D.']","['https://pureportal.coventry.ac.uk/en/persons/xu-wang', 'https://pureportal.coventry.ac.uk/en/persons/long-chen', 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2']"
Physics-informed neural networks as surrogate models of hydrodynamic simulators,https://pureportal.coventry.ac.uk/en/publications/physics-informed-neural-networks-as-surrogate-models-of-hydrodyna,20 Feb 2024,"['Donnelly, J.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/james-donnelly', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
Pore-scale modeling of solute transport in partially-saturated porous media,https://pureportal.coventry.ac.uk/en/publications/pore-scale-modeling-of-solute-transport-in-partially-saturated-po-2,16 Jul 2024,"['Saeibehrouzi, A.', 'Holtzman, R.']","['https://pureportal.coventry.ac.uk/en/persons/ali-saeibehrouzi', 'https://pureportal.coventry.ac.uk/en/persons/ran-holtzman']"
Solute Transport in Unsaturated Porous Media with Spatially Correlated Disorder,https://pureportal.coventry.ac.uk/en/publications/solute-transport-in-unsaturated-porous-media-with-spatially-corre,14 Jul 2024,"['Saeibehrouzi, A.', 'Holtzman, R.']","['https://pureportal.coventry.ac.uk/en/persons/ali-saeibehrouzi', 'https://pureportal.coventry.ac.uk/en/persons/ran-holtzman']"
Toward Population Health Intelligence: When Artificial Intelligence Meets Population Health Research,https://pureportal.coventry.ac.uk/en/publications/toward-population-health-intelligence-when-artificial-intelligenc,3 Jun 2024,"['Chen, L.', 'Lycett, D.', 'Zheng, D.']","['https://pureportal.coventry.ac.uk/en/persons/long-chen', 'https://pureportal.coventry.ac.uk/en/persons/deborah-lycett', 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2']"
Uncertainty Quantification of Hydro-morphodynamic Models using Probabilistic Surrogate Models,https://pureportal.coventry.ac.uk/en/publications/uncertainty-quantification-of-hydro-morphodynamic-models-using-pr,2024,"['Fanous, M.', 'Chatrabgoun, O.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
An iterated greedy algorithm with variable reconstruction size for the obnoxious p-median problem,https://pureportal.coventry.ac.uk/en/publications/an-iterated-greedy-algorithm-with-variable-reconstruction-size-fo,3 Jul 2023,"['England, M.']",['https://pureportal.coventry.ac.uk/en/persons/matthew-england']
A novel algorithm for classification using a low rank approximation of kernel-based support vector machines with applications,https://pureportal.coventry.ac.uk/en/publications/a-novel-algorithm-for-classification-using-a-low-rank-approximati,28 Jul 2023,"['Chatrabgoun, O.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
Artificial Intelligence for skeleton-based physical rehabilitation action evaluation: A systematic review,https://pureportal.coventry.ac.uk/en/publications/artificial-intelligence-for-skeleton-based-physical-rehabilitatio,May 2023,"['Sardari, S.', 'Daneshkhah, A.', 'Palade, V.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/sara-sardari', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
Beneath the bonnet of online privacy: Monitoring GDPR compliance through citizen science,https://pureportal.coventry.ac.uk/en/publications/beneath-the-bonnet-of-online-privacy-monitoring-gdpr-compliance-t,Sept 2023,"['Shah, H.', 'Marshall, I.']","['https://pureportal.coventry.ac.uk/en/persons/huma-shah', 'https://pureportal.coventry.ac.uk/en/persons/ian-marshall']"
Causal Analysis of Influence of the Solar Cycle and Latitudinal Solar-Wind Structure on Co-Rotation Forecasts,https://pureportal.coventry.ac.uk/en/publications/causal-analysis-of-influence-of-the-solar-cycle-and-latitudinal-s,13 Dec 2023,"['Chakraborty, N.']",['https://pureportal.coventry.ac.uk/en/persons/nachiketa-chakraborty']
Core manufacturing ontology to model manufacturing operations and sequencing knowledge,https://pureportal.coventry.ac.uk/en/publications/core-manufacturing-ontology-to-model-manufacturing-operations-and,Mar 2023,"['Shah, N.']",['https://pureportal.coventry.ac.uk/en/persons/nazaraf-shah']
Correlation distances in social networks,https://pureportal.coventry.ac.uk/en/publications/correlation-distances-in-social-networks,14 Jun 2023,"['Platini, T.']",['https://pureportal.coventry.ac.uk/en/persons/thierry-platini']
Data-Driven Design for Anomaly Detection in Network Access Control Systems,https://pureportal.coventry.ac.uk/en/publications/data-driven-design-for-anomaly-detection-in-network-access-contro,15 Mar 2023,"['Mohammed, K.']",['https://pureportal.coventry.ac.uk/en/persons/kabiru-mohammed']
Deep Learning Techniques for Radar-Based Continuous Human Activity Recognition,https://pureportal.coventry.ac.uk/en/publications/deep-learning-techniques-for-radar-based-continuous-human-activit,14 Oct 2023,"['Mehta, R.', 'Palade, V.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/ruchita-mehta', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
Diabetic Retinopathy Detection Using Transfer and Reinforcement Learning with Effective Image Preprocessing and Data Augmentation Techniques,https://pureportal.coventry.ac.uk/en/publications/diabetic-retinopathy-detection-using-transfer-and-reinforcement-l,7 Feb 2023,"['Tariq, M.', 'Palade, V.']","['https://pureportal.coventry.ac.uk/en/persons/maria-tariq', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
Editorial: Women in language and computation 2022,https://pureportal.coventry.ac.uk/en/publications/editorial-women-in-language-and-computation-2022,17 Oct 2023,"['Shah, H.']",['https://pureportal.coventry.ac.uk/en/persons/huma-shah']
Effective Natural Language Processing Algorithms for Gout Flare Early Alert from Chief Complaints,https://pureportal.coventry.ac.uk/en/publications/effective-natural-language-processing-algorithms-for-gout-flare-e,Nov 2023,"['Daneshkhah, A.']",['https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']
Efficacy of the 4F Feedback Model: A Game-Based Assessment in University Education,https://pureportal.coventry.ac.uk/en/publications/efficacy-of-the-4f-feedback-model-a-game-based-assessment-in-univ,6 Feb 2023,"['Lameras, P.', 'Dunwell, I.', 'Arnab, S.']","['https://pureportal.coventry.ac.uk/en/persons/petros-lameras', 'https://pureportal.coventry.ac.uk/en/persons/ian-dunwell', 'https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab']"
Exploiting flat subspaces in local search for p-Center problem and two fault-tolerant variants,https://pureportal.coventry.ac.uk/en/publications/exploiting-flat-subspaces-in-local-search-for-p-center-problem-an,Jan 2023,[],[]
Human-in-the-loop machine learning with applications for population health,https://pureportal.coventry.ac.uk/en/publications/human-in-the-loop-machine-learning-with-applications-for-populati,Mar 2023,"['Chen, L.']",['https://pureportal.coventry.ac.uk/en/persons/long-chen']
Hydro-morphodynamic modelling of mangroves imposed by tidal waves using finite element discontinuous Galerkin method,https://pureportal.coventry.ac.uk/en/publications/hydro-morphodynamic-modelling-of-mangroves-imposed-by-tidal-waves,28 Mar 2023,"['Fanous, M.', 'Daneshkhah, A.', 'Eden, J. M.', 'Palade, V.']","['https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
Indonesian 2013 Curriculum Ten Years On: Impact on Mathematics Teaching,https://pureportal.coventry.ac.uk/en/publications/indonesian-2013-curriculum-ten-years-on-impact-on-mathematics-tea,15 Jun 2023,"['Lawson, D.', 'Muhammad, R. R.', 'Aslam, F.', 'Crawford, M.']","['https://pureportal.coventry.ac.uk/en/persons/duncan-lawson', 'https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad', 'https://pureportal.coventry.ac.uk/en/persons/farzana-aslam', 'https://pureportal.coventry.ac.uk/en/persons/megan-crawford']"
Modeling intrinsic factors of inclusive engagement in Citizen Science: Insights from the participants’ survey analysis of CSI-COP,https://pureportal.coventry.ac.uk/en/publications/modeling-intrinsic-factors-of-inclusive-engagement-in-citizen-sci,28 Nov 2023,"['Shah, H.', 'Winter, J.']","['https://pureportal.coventry.ac.uk/en/persons/huma-shah', 'https://pureportal.coventry.ac.uk/en/persons/jaimz-stuart-winter']"
Parameters influencing pedestrian injury and severity: A systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/publications/parameters-influencing-pedestrian-injury-and-severity-a-systemati,Mar 2023,"['Shrinivas, V.', 'Bastien, C.', 'Daneshkhah, A.', 'Davies, H.']","['https://pureportal.coventry.ac.uk/en/persons/vadhiraj-shrinivas', 'https://pureportal.coventry.ac.uk/en/persons/christophe-bastien', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'https://pureportal.coventry.ac.uk/en/persons/huw-davies']"
Physics Informed Neural Networks To Model The Hydro-Morphodynamics Of Mangrove Environments,https://pureportal.coventry.ac.uk/en/publications/physics-informed-neural-networks-to-model-the-hydro-morphodynamic,Oct 2023,"['Fanous, M.', 'Daneshkhah, A.', 'Eden, J.', 'Palade, V.']","['https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
Stakeholders’ impact on the reuse potential of structural elements at the end-of-life of a building: A machine learning approach,https://pureportal.coventry.ac.uk/en/publications/stakeholders-impact-on-the-reuse-potential-of-structural-elements,1 Jul 2023,"['Daneshkhah, A.']",['https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']
Developing Graph Convolutional Networks and Mutual Information for Arrhythmic Diagnosis Based on Multichannel ECG Signals,https://pureportal.coventry.ac.uk/en/publications/developing-graph-convolutional-networks-and-mutual-information-fo,28 Aug 2022,"['Daneshkhah, A.']",['https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']
Gaussian Process Emulation of Spatio-temporal Outputs of a 2D Inland Flood Model,https://pureportal.coventry.ac.uk/en/publications/gaussian-process-emulation-of-spatio-temporal-outputs-of-a-2d-inl,15 Oct 2022,"['Donnelly, J.', 'Chatrabgoun, O.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/james-donnelly', 'https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
Institutional Data Analysis and Machine Learning Prediction of Student Performance,https://pureportal.coventry.ac.uk/en/publications/institutional-data-analysis-and-machine-learning-prediction-of-st,20 May 2022,"['Anane, R.']",['https://pureportal.coventry.ac.uk/en/persons/rachid-anane']
Predicting Primary Sequence-Based Protein-Protein Interactions Using a Mercer Series Representation of Nonlinear Support Vector Machine,https://pureportal.coventry.ac.uk/en/publications/predicting-primary-sequence-based-protein-protein-interactions-us,1 Dec 2022,"['Chatrabgoun, O.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
Social Explainability of AI: The Impact of Non-Technical Explanations on Trust,https://pureportal.coventry.ac.uk/en/publications/social-explainability-of-ai-the-impact-of-non-technical-explanati,23 Jul 2022,"['Slocombe, B.', 'Grawemeyer, B.']","['https://pureportal.coventry.ac.uk/en/persons/bianca-slocombe', 'https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer']"
Transfer Learning based Classification of Diabetic Retinopathy on the Kaggle EyePACS dataset,https://pureportal.coventry.ac.uk/en/publications/transfer-learning-based-classification-of-diabetic-retinopathy-on,15 Nov 2022,"['Tariq, M.', 'Palade, V.']","['https://pureportal.coventry.ac.uk/en/persons/maria-tariq', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
Using Physics-informed Neural Networks to Model the Hydro-morphodynamics of Mangrove Environments,https://pureportal.coventry.ac.uk/en/publications/using-physics-informed-neural-networks-to-model-the-hydro-morphod,9 Dec 2022,"['Fanous, M.', 'Eden, J.', 'Palade, V.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
Quality-Gauranteed Traditionally-sensed Areas Selection in Compressive Population Health,https://pureportal.coventry.ac.uk/en/publications/quality-gauranteed-traditionally-sensed-areas-selection-in-compre,2021,"['Chen, L.']",['https://pureportal.coventry.ac.uk/en/persons/long-chen']
